Data;ICC_Sem_Ajuste;ICC_Ajustado_Sazonal;IGPDI;SELIC;ABL_Locada;Lojas_Locadas;ABL Total;Venda
01/01/2013;108,2;106;504,83;7,11;70916,22;290;74817,56;50221052
01/02/2013;104,3;104,7;505,832;7,12;70247,72;289;74490,56;43256336
01/03/2013;102,3;102,2;507,375;7,15;69993,98;290;74490,56;52414994
01/04/2013;100,2;103;507,087;7,26;70030,09;290;74490,56;48853449
01/05/2013;100,2;102,7;508,715;7,42;70046,89;290;74405,83;57577907
01/06/2013;99,6;102,4;512,598;7,9;70029,39;290;74405,83;55370856
01/07/2013;96,5;99,5;513,313;8,23;70416,66;290;74281,24;57553168
01/08/2013;100,9;102;515,688;8,45;71423,31;294;74281,24;56537785
01/09/2013;102,5;102,5;522,69;8,9;71728,6;294;74281,24;51446743
01/10/2013;103,4;101,1;525,966;9,25;71363,31;293;74281,24;57276602
01/11/2013;104,2;102,1;527,422;9,45;71395,31;294;74281,24;62670092
01/12/2013;103,2;100,6;531,056;9,9;71397,81;294;74241,62;99450675
01/01/2014;100,8;98,5;533,197;10,17;71282,21;290;74236,49;53399886
01/02/2014;96,9;97;537,703;10,43;71282,21;290;74236,49;48205115
01/03/2014;97,2;96,7;545,684;10,65;71509,21;292;74374,49;55920708,58
01/04/2014;94,7;96,4;548,145;10,87;71404,23;291;74374,49;54643269
01/05/2014;90,6;92,5;545,652;10,9;71285,19;290;74306,4;63802024,57
01/06/2014;91;93,4;542,194;10,9;71251,04;292;74306,4;57092069,26
01/07/2014;92;94,5;539,21;10,9;71224,06;292;74306,4;57500112,15
01/08/2014;91,3;91,8;539,55;10,9;71125,66;290;74306,4;59571048,69
01/09/2014;93;92,8;539,649;10,9;71271,78;291;74306,4;53120961,03
01/10/2014;94,3;91,4;542,853;10,92;71182,21;291;74306,4;59466061,52
01/11/2014;88,2;86;549,04;11,15;71433,06;294;74306,4;69546491,53
01/12/2014;88,4;86,6;551,149;11,58;71435,31;294;74306,4;106675838,1
01/01/2015;83,2;80,2;554,835;11,82;71019,71;288;74306,4;59456217,89
01/02/2015;77,4;76,1;557,803;12,15;70668,84;286;74306,4;51085276,45
01/03/2015;75,6;74,1;564,568;12,58;70863,79;288;74306,4;57343540,23
01/04/2015;74,6;75,5;569,738;12,68;70795,33;285;74306,4;55518597,28
01/05/2015;74,1;75,1;572,034;13,15;70863,5;287;74306,4;63571621,08
01/06/2015;73;74;575,938;13,58;70863,5;287;74306,4;56784480,52
01/07/2015;70;70,8;579,293;13,69;70914,9;288;74306,4;58807325,37
01/08/2015;70,3;69,7;581,618;14,15;70898,13;287;74306,4;56390373,3
01/09/2015;65,9;65,1;589,897;14,15;70957,08;286;74306,4;52208162,2
01/10/2015;68,6;65,3;600,269;14,15;71242,81;289;74306,4;59532479,53
01/11/2015;68,6;66,1;607,441;14,15;71424,81;291;74306,4;65935921,22
01/12/2015;67,1;64,9;610,128;14,15;71341,21;290;74306,4;104681691,5
01/01/2016;70;65,4;619,476;14,15;71375,59;286;74306,4;57506886,89
01/02/2016;70,4;67,8;624,366;14,15;71430,14;286;74306,4;50894572,95
01/03/2016;68,2;66;627,06;14,15;71289,14;284;74306,4;54187097,81
01/04/2016;64,6;65,6;629,345;14,15;71220,64;283;74306,4;55206968,26
01/05/2016;69;70,4;636,468;14,15;71098,89;281;74306,4;65722190,6
01/06/2016;71,9;73,1;646,868;14,15;71239,89;283;74306,4;61603194,12
01/07/2016;76,7;76,7;644,356;14,15;71409,44;285;74306,4;61910953,58
01/08/2016;79,9;78,8;647,153;14,15;71454,51;284;74306,4;58175874,17
01/09/2016;81,3;79,9;647,36;14,15;71364,95;286;74306,4;54210345,26
01/10/2016;84,4;80,6;648,213;14,05;71727,34;288;74306,4;63101024,1
01/11/2016;80,9;78,3;648,561;13,9;71855,85;291;74350,15;67861710,48
01/12/2016;75,6;74,1;653,951;13,65;71774,1;289;74306,4;108916212,1
01/01/2017;81,9;78,3;656,778;13,17;71725,09;288;74306,4;60233128,98
01/02/2017;82,4;80,5;657,191;12,82;71428,04;283;74306,4;53739679,69
01/03/2017;85,3;83,4;654,709;12,15;71428,04;283;74306,4;60307559,41
